药品ID,药品编码,名称,规格,关联状态,缺口分类,具体原因
362387880000678,MED-2026-W221-01,丙酸氟替卡松吸入气雾剂,50μg/ 揿,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000679,MED-2026-W221-02,丙酸氟替卡松吸入气雾剂,125μg/ 揿,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001136,MED-2026-W408-01,中/ 长链脂肪乳注射液,250ml（大豆油 12.5g；中链甘油三酸酯 12.5g）,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001137,MED-2026-W408-02,中/ 长链脂肪乳注射液,250ml（大豆油 25g；中链甘油三酸酯 25g；卵磷脂 3g）,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000588,MED-2026-W189-01,乌拉地尔缓释（片剂、胶囊）,30mg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001494,MED-2026-T054-01,二母宁嗽丸（颗粒、片）,每丸重 9g（相当于饮片 4g）,MISMATCH,标准规格须核对,标准原文剂型段落未分开
362387880001495,MED-2026-T054-02,二母宁嗽丸（颗粒、片）,每 100 丸重 10g颗粒剂：每袋装 3g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001496,MED-2026-T054-03,二母宁嗽丸（颗粒、片）,每丸重 10g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387869795202,DRUG-MET,二甲双胍,0.5g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000904,MED-2026-W315-01,二甲双胍片,0.25g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000905,MED-2026-W315-02,二甲双胍片,0.5g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000908,MED-2026-W315-05,二甲双胍缓释片,0.25g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000909,MED-2026-W315-06,二甲双胍缓释片,0.5g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000911,MED-2026-W315-08,二甲双胍缓释胶囊,0.25g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000906,MED-2026-W315-03,二甲双胍肠溶（片剂、胶囊）,0.25g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000907,MED-2026-W315-04,二甲双胍肠溶（片剂、胶囊）,0.5g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000910,MED-2026-W315-07,二甲双胍胶囊,0.25g,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880002122,MED-2026-T283-01,云南白药散,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880002124,MED-2026-T283-03,云南白药贴膏剂,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880002125,MED-2026-T283-04,云南白药酊剂,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880002123,MED-2026-T283-02,云南白药（胶囊、膏、酊、气雾剂）,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880002126,MED-2026-T283-05,云南白药（胶囊、膏、酊、气雾剂）,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000186,MED-2026-W050-01,人干扰素人干扰素α1b注射液,10μg∶0.5ml,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000187,MED-2026-W050-02,人干扰素人干扰素α1b注射液,30μg∶1ml注射用人干扰素α1b ∶10μg,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000188,MED-2026-W050-03,人干扰素人干扰素α1b注射液,30μg人干扰素α2a 注射液,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000189,MED-2026-W050-04,人干扰素人干扰素α1b注射液,注射用人干扰素α2a ∶300 万 IU,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000190,MED-2026-W050-05,人干扰素人干扰素α1b注射液,500 万 IU人干扰素α2b 注射液,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000191,MED-2026-W050-06,人干扰素人干扰素α1b注射液,注射用人干扰素α2b ∶300 万 IU,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000192,MED-2026-W050-07,人干扰素人干扰素α1b注射液,500 万 IU,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000861,MED-2026-W302-01,人粒细胞刺激因子注射液,75μg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000862,MED-2026-W302-02,人粒细胞刺激因子注射液,100μg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000863,MED-2026-W302-03,人粒细胞刺激因子注射液,150μg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000864,MED-2026-W302-04,人粒细胞刺激因子注射液,200μg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000865,MED-2026-W302-05,人粒细胞刺激因子注射液,300μg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001011,MED-2026-W355-03,他克莫司缓释胶囊,0.5mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880001012,MED-2026-W355-04,他克莫司缓释胶囊,1mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880001009,MED-2026-W355-01,他克莫司胶囊,0.5mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880001010,MED-2026-W355-02,他克莫司胶囊,1mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000149,MED-2026-W038-01,伊曲康唑分散片,0.1g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000845,MED-2026-W294,低分子量肝素注射液,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880002002,MED-2026-T237,保妇康栓,每粒重 1.74g（含莪术油 82mg，冰片 75mg）,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001569,MED-2026-T078-01,健脾生血颗粒（片）,每 1g 相当于饮片 0.36g,MISMATCH,标准规格须核对,成分片段须恢复完整规格
362387880001570,MED-2026-T078-02,健脾生血颗粒（片）,含硫酸亚铁（FeSO4 ·7H2O）20mg（相当于铁 4mg）,MISMATCH,标准规格须核对,成分片段须恢复完整规格
362387880001571,MED-2026-T078-03,健脾生血颗粒（片）,每片重 0.6g［含硫酸亚铁（FeSO4 ·7H2O） 100mg（相当于铁 20mg）］,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880002109,MED-2026-T277-02,冰硼散,每瓶 1.5g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880002110,MED-2026-T277-03,冰硼散,每瓶 2g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880002111,MED-2026-T277-04,冰硼散,每瓶 3g,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000410,MED-2026-W124-03,利培酮口崩片,1mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880000408,MED-2026-W124-01,利培酮片,1mg,UNMAPPED,本地重复档案待整理,STANDARD_REFERENCE_MISSING
362387880001232,MED-2026-W451-01,加替沙星滴眼剂,0.3%,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001233,MED-2026-W451-02,加替沙星眼用凝胶,0.3%,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001406,MED-2026-T031-06,十滴水含樟脑 25mg,常规说明书规格,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001407,MED-2026-T031-07,十滴水桉油 12.5μl,常规说明书规格,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001405,MED-2026-T031-05,十滴水每1ml 相当于饮片 0.07g,常规说明书规格,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001402,MED-2026-T031-02,十滴水酊剂,每瓶 10ml,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001403,MED-2026-T031-03,十滴水酊剂,每瓶 100ml,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001404,MED-2026-T031-04,十滴水酊剂,每瓶 500ml,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880001848,MED-2026-T174,华佗再造丸,常规说明书规格,UNMAPPED,无可匹配规格,STANDARD_REFERENCE_MISSING
362387880000494,MED-2026-W153-04,单硝酸异山梨酯缓释片,40mg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000495,MED-2026-W153-05,单硝酸异山梨酯缓释片,50mg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000497,MED-2026-W153-07,单硝酸异山梨酯缓释胶囊,40mg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
362387880000498,MED-2026-W153-08,单硝酸异山梨酯缓释胶囊,50mg,UNMAPPED,身份字段需修正,STANDARD_REFERENCE_MISSING
