编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W001-01,青霉素钾注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.25g（40 万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-02,青霉素钾注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.5g（80 万单位）,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-03,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.24g（40 万单位）,支,0.24,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-04,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.48g（80 万单位）,支,0.48,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-05,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.96g（160 万单位）,支,0.96,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-06,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,2.4g（400 万单位）,支,2.4,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002-01,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,60 万单位,支,60,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002-02,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,120万单位,支,120,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-01,苯唑西林片,Oxacillin,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-02,苯唑西林胶囊,Oxacillin,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-03,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-04,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-05,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-01,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-02,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-03,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-01,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-02,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-03,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-04,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,4.0g,支,4.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W006-01,阿莫西林片,Amoxicillin,WESTERN,TABLET,0.125g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-02,阿莫西林片,Amoxicillin,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-03,阿莫西林胶囊,Amoxicillin,WESTERN,CAPSULE,0.125g,粒,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-04,阿莫西林胶囊,Amoxicillin,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-05,阿莫西林颗粒,Amoxicillin,WESTERN,GRANULE,0.125g,袋,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
