编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W001-01,青霉素（注射用无菌粉末）,Benzylpenicillin,WESTERN,INJECTION,（钾盐）注射用无菌粉末：0.25g（40 万单位）、0.5g（80 万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-02,青霉素（注射用无菌粉末）,Benzylpenicillin,WESTERN,INJECTION,（钠盐）注射用无菌粉末：0.24g（40 万单位）、0.48g（80 万单位）、 0.96g（ 160 万单位）、2.4g（400 万单位）,支,0.24,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,60 万单位、120万单位,支,60,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-01,苯唑西林（片剂）,Oxacillin,WESTERN,TABLET,片剂、胶囊：0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-02,苯唑西林（注射用无菌粉末）,Oxacillin,WESTERN,INJECTION,0.5g、1.0g、2.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,0.5g、1.0g、2.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,0.5g、1.0g、2.0g、 4.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W006,阿莫西林片剂,Amoxicillin,WESTERN,TABLET,片剂、胶囊、颗粒剂、干混悬剂： 0.125g 、0.25g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-01,阿莫西林克拉维酸钾（片剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,TABLET,阿莫西林∶克拉维酸=2∶1、 4 ∶1 、7 ∶1,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-02,阿莫西林克拉维酸钾（颗粒剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,GRANULE,125mg∶31.25mg（ 4 ∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）,袋,125,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-03,阿莫西林克拉维酸钾（干混悬剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,ORAL_LIQUID,250mg∶62.5mg（4∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）,瓶,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-04,阿莫西林克拉维酸钾（注射用无菌粉末）,"Amoxicillin and
Clavulanate Potassium",WESTERN,INJECTION,250mg∶50mg（ 5 ∶1 ）、500mg∶100mg（ 5 ∶1 ）、 1000mg∶200mg（ 5 ∶1 ）（阿莫西林∶克拉维酸）,支,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W008,哌拉西林钠他唑巴坦钠注射用无菌粉末,Piperacillin Sodium and Tazobactam Sodium,WESTERN,INJECTION,2.25g（哌拉西林 2.0g 与他唑巴坦 0.25g）、4.5g（哌拉西林 4.0g 与他唑巴坦 0.5g）,支,2.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W009,头孢唑林注射用无菌粉末,Cefazolin,WESTERN,INJECTION,0.5g 、1.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W010,头孢拉定胶囊,Cefradine,WESTERN,CAPSULE,0.25g 、0.5g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-01,头孢氨苄（片剂）,Cefalexin,WESTERN,TABLET,片剂、胶囊：0. 125g 、0.25g,片,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-02,头孢氨苄（颗粒剂）,Cefalexin,WESTERN,GRANULE,0.05g 、0. 125g,袋,0.05,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W012-01,头孢呋辛（片剂）,Cefuroxime,WESTERN,TABLET,（头孢呋辛酯）片剂、分散片、胶囊、干混悬剂：0. 125g 、0.25g,片,125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-02,头孢呋辛（注射用无菌粉末）,Cefuroxime,WESTERN,INJECTION,（钠盐）注射用无菌粉末：0.25g、 0.5g 、0.75g 、1.5g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W013-01,头孢克肟（片剂）,Cefixime,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-02,头孢克肟（分散片）,Cefixime,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-03,头孢克肟（胶囊）,Cefixime,WESTERN,CAPSULE,100mg,粒,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-04,头孢克肟（颗粒剂）,Cefixime,WESTERN,GRANULE,50mg,袋,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W013-05,头孢克肟（干混悬剂）,Cefixime,WESTERN,ORAL_LIQUID,50mg 、100mg,瓶,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W014,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,0.25g、0.5g、1.0g、 2.0g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,0.25g、0.5g、1.0g、 2.0g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W016,阿米卡星注射液,Amikacin,WESTERN,INJECTION,1ml ∶0. 1g（ 10 万单位）、 2ml ∶0.2g（20 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W017,庆大霉素注射液,Gentamycin,WESTERN,INJECTION,1ml ∶40mg（4 万单位）、 2ml ∶80mg（8 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W018,多西环素片剂,Doxycycline,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W019-01,米诺环素（片剂）,Minocycline,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W019-02,米诺环素（胶囊）,Minocycline,WESTERN,CAPSULE,50mg 、100mg,粒,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W020-01,红霉素（片剂）,Erythromycin,WESTERN,TABLET,肠溶（片剂、胶囊）、（琥珀酸乙酯）片剂、（琥珀酸乙酯）胶囊： 0. 125g（ 12.5 万单位）、0.25g（ 25万单位）,片,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W020-02,红霉素（注射用无菌粉末）,Erythromycin,WESTERN,INJECTION,0.25g（25 万单位）、0.3g（30 万单位）、0.5g（ 50万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
