标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-0338198C863CD64BA0057A39,MED-2026-W001,青霉素,Benzylpenicillin,WESTERN,MEDICATION,"（钾盐）注射用无菌粉末：0.25g
（40 万单位）、0.5g（80 万单位）
（钠盐）注射用无菌粉末：0.24g
（40 万单位）、0.48g（80 万单位）、 0.96g（ 160 万单位）、2.4g（400 万单位）",False,table:1/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-002F0CDAAF45F439DD267461,MED-2026-W002,苄星青霉素,Benzathine Benzylpenicillin,WESTERN,MEDICATION,注射用无菌粉末：60 万单位、120万单位,False,table:1/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-6580D9C759B535F22780DCF6,MED-2026-W003,苯唑西林,Oxacillin,WESTERN,MEDICATION,"片剂、胶囊：0.25g
注射用无菌粉末：0.5g、1.0g、2.0g",False,table:1/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C02E6E9A82A65CC20D7C30C2,MED-2026-W004,氨苄西林,Ampicillin,WESTERN,MEDICATION,注射用无菌粉末：0.5g、1.0g、2.0g,False,table:1/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-832B7C4EF820CFB449104271,MED-2026-W005,哌拉西林,Piperacillin,WESTERN,MEDICATION,注射用无菌粉末：0.5g、1.0g、2.0g、 4.0g,False,table:1/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-33AF7A83AD073B960F8B3B32,MED-2026-W006,阿莫西林,Amoxicillin,WESTERN,MEDICATION,片剂、胶囊、颗粒剂、干混悬剂： 0.125g 、0.25g,False,table:1/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-511C46465C2B688160D872D0,MED-2026-W007,阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium,WESTERN,MEDICATION,"片剂：阿莫西林∶克拉维酸=2∶1、 4 ∶1 、7 ∶1
颗粒剂： 125mg∶31.25mg（ 4 ∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）
干混悬剂：250mg∶62.5mg（4∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）
注射用无菌粉末：250mg∶50mg
（ 5 ∶1 ）、500mg∶100mg（ 5 ∶1 ）、
1000mg∶200mg（ 5 ∶1 ）（阿莫西林∶克拉维酸）",False,table:2/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-6DA69D6939FA592E68ADB97B,MED-2026-W008,哌拉西林钠他唑巴坦钠,Piperacillin Sodium and Tazobactam Sodium,WESTERN,MEDICATION,注射用无菌粉末：2.25g（哌拉西林 2.0g 与他唑巴坦 0.25g）、4.5g（哌拉西林 4.0g 与他唑巴坦 0.5g）,False,table:2/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-ADEC5396136C53910A947A12,MED-2026-W009,头孢唑林,Cefazolin,WESTERN,MEDICATION,注射用无菌粉末：0.5g 、1.0g,False,table:2/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B50E91897684DEAF7DFD6461,MED-2026-W010,头孢拉定,Cefradine,WESTERN,MEDICATION,胶囊：0.25g 、0.5g,False,table:2/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-E2F6067422A951C28D369A90,MED-2026-W011,头孢氨苄,Cefalexin,WESTERN,MEDICATION,"片剂、胶囊：0. 125g 、0.25g
颗粒剂：0.05g 、0. 125g",False,table:2/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
